phase,testBlock,testType,method
filter,filter,coordIssues,missing
filter,filter,coordIssues,invalCoord
filter,filter,coordIssues,zeroCoord
filter,filter,coordIssues,coordConv
filter,filter,duplicates,dupGrid
filter,filter,duplicates,dupExact
test,geo,countryStatusRange,wrongNTV
test,geo,countryStatusRange,wrongCTRY
test,geo,countryStatusRange,wrongINV
test,geo,centroidDetection,BIEN
test,geo,centroidDetection,CoordinateCleaner
test,lu,humanDetection,HumanInfluence
test,lu,humanDetection,UrbanAreas
test,lu,landUseType,wrongLU
test,lu,institutionLocality,fromBotanicLocalityName
test,lu,institutionLocality,fromCoordinates
test,geo,geoOutliers,alphaHull
test,geo,geoOutliers,distance
test,geo,geoOutliers,median
test,geo,geoOutliers,quantileSamplingCorr
test,geo,geoOutliers,Grubbs
test,geo,geoOutliers,Dixon
test,geo,geoOutliers,Rosner
test,geo,geoOutliers,mcp
test,env,envOutliers,missingEnv
test,env,envOutliers,bxp
test,env,envOutliers,Grubbs
test,env,envOutliers,Dixon
test,env,envOutliers,Rosner
test,geo,geoenvLowAccuracy,lattice
test,env,geoenvLowAccuracy,percDiffCell
test,geo,geoenvLowAccuracy,envDiff
test,geo,geoenvLowAccuracy,elevDiff
test,time,timeAccuracy,noDate
test,time,timeAccuracy,noDateFormatKnown
test,time,timeAccuracy,outDateRange